Date,Open,Low,High,Close,Volume
"Apr 25, 2011",6.5,6.5,6.9,6.9,58
"Apr 26, 2011",6.5,6.4,6.5,6.4,39
"Apr 27, 2011",6.1,6.1,6.3,6.3,3
"Apr 28, 2011",6.3,6.1,6.3,6.3,60
"Apr 29, 2011",6.3,6.3,6.3,6.3,24
"Apr 30, 2011",6,6,6.2,6,37
"May 1, 2011",6.3,6,6.3,6.2,40
"May 2, 2011",6.3,6.2,6.4,6.2,191
"May 3, 2011",6.2,6.2,6.2,6.2,43
"May 4, 2011",6.3,5.6,6.3,5.6,424
"May 5, 2011",5.9,5.7,6.1,5.7,69
"May 6, 2011",5.7,5.6,5.7,5.6,8
"May 7, 2011",6,5.1,6,5.1,175
"May 8, 2011",5.2,5.1,5.2,5.1,31
"May 9, 2011",5,1.6,5.2,1.6,223
"May 10, 2011",4,3.8,4.2,4,16
"May 11, 2011",4,4,4.1,4,50
"May 12, 2011",4,3.5,4,3.6,22
"May 13, 2011",3.9,3.5,3.9,3.8,89
"May 14, 2011",3.5,3.4,4.2,4,233
"May 15, 2011",4.1,3.9,4.5,4.5,76
"May 16, 2011",4.1,4.1,4.6,4.6,196
"May 18, 2011",5.5,5.2,5.6,5.3,126
"May 19, 2011",5.4,5.4,5.7,5.7,305
"May 20, 2011",5.5,5.5,5.5,5.5,50
"May 21, 2011",5.5,5.4,5.8,5.8,200
"May 22, 2011",6,5.4,6.2,5.8,133
"May 23, 2011",5.6,5.3,6,5.3,251
"May 24, 2011",5.3,5.3,6,6,505
"May 25, 2011",5.7,5,5.7,5.4,119
"May 26, 2011",5.4,5.2,5.7,5.3,126
"May 27, 2011",5.3,4.4,5.5,5.5,279
"May 28, 2011",5.5,5,5.8,5.8,924
"May 29, 2011",5.2,5.1,5.9,5.2,155
"May 30, 2011",5.2,5.2,5.3,5.3,52
"May 31, 2011",5.2,5.1,5.4,5.4,99
"Jun 1, 2011",5.3,5.3,5.8,5.8,256
"Jun 2, 2011",5.7,5.5,5.7,5.5,102
"Jun 3, 2011",6,5.4,6,5.4,498
"Jun 4, 2011",5.4,4.9,5.5,5.1,50
"Jun 5, 2011",5.5,5.5,5.5,5.5,44
"Jun 6, 2011",5.5,5.5,5.5,5.5,0
"Jun 7, 2011",5.5,5,5.5,5.5,190
"Jun 8, 2011",5.5,5.5,5.7,5.6,200
"Jun 9, 2011",5.6,5.5,5.7,5.7,133
"Jun 10, 2011",5.5,5,5.5,5.3,46
"Jun 11, 2011",5.3,5,5.4,5,36
"Jun 12, 2011",5.1,5.1,5.2,5.2,20
"Jun 13, 2011",5.1,5,5.1,5,89
"Jun 14, 2011",5,5,6.4,6.3,561
"Jun 15, 2011",6.1,5.7,6.3,6.3,490
"Jun 16, 2011",6.3,6.3,8.4,8.4,1181
"Jun 17, 2011",8.3,7.4,8.3,8.2,137
"Jun 18, 2011",8.2,7.3,8.7,8.2,309
"Jun 19, 2011",8.2,6,8.2,8.2,286
"Jun 20, 2011",8.2,7,8.2,7,197
"Jun 21, 2011",7.2,7.2,8.3,7.9,136
"Jun 22, 2011",8.1,7.3,8.8,8.5,940
"Jun 23, 2011",9,8.8,9.9,9,843
"Jun 24, 2011",8.9,8.3,9,8.9,28
"Jun 25, 2011",8.8,8.4,9.1,9.1,432
"Jun 26, 2011",9,9,9.9,9.9,262
"Jun 27, 2011",10,10,14.5,13.8,2486
"Jun 28, 2011",13.7,13,14.1,13.8,454
"Jun 29, 2011",14,12.6,14.9,14.2,1122
"Jun 30, 2011",13.7,13,15.3,15.3,515
"Jul 1, 2011",14.9,14.9,16.4,16,1054
"Jul 2, 2011",15.8,15.5,16.3,15.5,381
"Jul 3, 2011",15,14.6,16.4,16,176
"Jul 4, 2011",16,16,22,18.5,593
"Jul 5, 2011",17.5,16.7,21,18.1,345
"Jul 6, 2011",18.6,16.5,18.6,17.7,124
"Jul 7, 2011",16.8,15.9,17.8,16.2,339
"Jul 8, 2011",16.5,16.5,17.4,17.3,100
"Jul 9, 2011",17.2,16.2,18,16.2,726
"Jul 10, 2011",17.5,15.7,17.5,16,22
"Jul 11, 2011",15.9,14.1,16.2,14.1,206
"Jul 12, 2011",15.1,14.9,17,15.7,636
"Jul 13, 2011",16.3,14.1,16.3,16,209
"Jul 14, 2011",15.4,13,15.5,13,291
"Jul 15, 2011",15.3,14.5,15.3,14.5,14
"Jul 16, 2011",14.5,12.1,14.6,13.6,383
"Jul 17, 2011",13,12.9,13,12.9,21
"Jul 18, 2011",12.8,8.8,12.8,9.2,373
"Jul 19, 2011",9.3,9.3,11,9.7,152
"Jul 20, 2011",10.5,7.2,10.9,9.9,545
"Jul 21, 2011",9.9,8.7,10.3,9.3,212
"Jul 22, 2011",9.8,9.2,9.9,9.3,222
"Jul 23, 2011",9.6,9.2,9.6,9.5,136
"Jul 24, 2011",9.2,9.2,9.6,9.6,52
"Jul 25, 2011",9.5,9.2,10.2,10.2,249
"Jul 26, 2011",9.8,9.4,9.9,9.9,108
"Jul 27, 2011",9.9,9,9.9,9,48
"Jul 28, 2011",9,8.8,9.1,8.8,72
"Jul 29, 2011",8.8,8.1,8.8,8.1,53
"Jul 30, 2011",8.1,8,8.1,8,14
"Jul 31, 2011",7.9,7.9,7.9,7.9,1
"Aug 1, 2011",7.9,7,7.9,7.2,162
"Aug 2, 2011",7.2,5.1,7.2,6.4,110
"Aug 3, 2011",6.2,5.9,6.5,5.9,242
"Aug 4, 2011",6.6,6,6.9,6.9,80
"Aug 5, 2011",7,6.6,7.5,7.5,75
"Aug 7, 2011",6.3,6.2,6.4,6.2,25
"Aug 8, 2011",6.2,6.2,7,6.2,103
"Aug 9, 2011",6,6,6.8,6,257
"Aug 10, 2011",6.1,6,6.5,6.2,126
"Aug 11, 2011",6,6,6.4,6.3,110
"Aug 12, 2011",6.2,5,6.6,6.3,407
"Aug 13, 2011",6.3,5.2,6.5,5.2,219
"Aug 14, 2011",6,5.7,8,6.1,285
"Aug 15, 2011",6.5,6,7.3,7,382
"Aug 16, 2011",7,6.4,7,6.7,483
"Aug 17, 2011",6.7,6.2,7,7,433
"Aug 18, 2011",7,5.3,7,5.9,273
"Aug 19, 2011",5.57,4.7,5.9,4.7,897
"Aug 20, 2011",5.4,5,5.6,5.5,947
"Aug 21, 2011",5.5,5,5.6,5.5,727
"Aug 22, 2011",5.4,5.3,6,5.6,611
"Aug 23, 2011",5.8,5.3,5.9,5.5,839
"Aug 24, 2011",5.4,4.9,6,6,314
"Aug 25, 2011",5.7,4.5,5.7,4.5,68
"Aug 26, 2011",4.5,4.5,4.5,4.5,107
"Aug 27, 2011",4.5,4.4,5,5,228
"Aug 28, 2011",4.9,4.3,4.9,4.8,44
"Aug 29, 2011",4.4,4.4,4.6,4.6,8
"Aug 30, 2011",4.4,4.4,4.4,4.4,33
"Aug 31, 2011",4.5,4.5,4.9,4.5,103
"Sep 1, 2011",4.5,4.4,4.5,4.5,107
"Sep 2, 2011",4.4,4.4,4.5,4.4,76
"Sep 3, 2011",4.4,4.2,4.4,4.2,11
"Sep 4, 2011",4.1,3.9,4.2,3.9,447
"Sep 5, 2011",3.9,3.9,4,3.9,42
